spikeRate,correctOrIncorrect,mouseID,plusOrMinus,spikeRateForWholeRec
0.15,1,6025,1,0.0461470681518239
0,1,6025,1,0.0108581336827821
0.1,1,6025,1,0.0325744010483463
0.2,1,6025,1,0.0393607346000851
0,1,6025,1,0.00814360026208657
0.25,1,6025,1,0.0651488020966926
0.25,1,6025,1,0.051576134993215
0.05,1,6025,1,0.0393607346000851
0.15,1,6025,1,0.0176444672345209
0.15,1,6025,1,0.0271453342069552
0.1,1,6025,1,0.0366462011793896
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0203590006552164
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0203590006552164
0.1,1,6025,1,0.0583624685449538
0.25,1,6025,1,0.101795003276082
0,1,6025,1,0.00271453342069552
0.1,1,6025,1,0.0583624685449538
0.15,1,6025,1,0.0217162673655642
0.05,1,6025,1,0.00542906684139105
0.2,1,6025,1,0.0787214692001702
0.2,1,6025,1,0.130297604193385
0,1,6025,1,0.0719351356484314
0,1,6025,1,0.00271453342069552
0.15,1,6025,1,0.160157471821036
0.05,1,6025,1,0.0298598676276508
0.1,1,6025,1,0.0502188682828672
0.1,1,6025,1,0.223949007207381
0,1,6025,1,0.0488616015725194
0.55,1,6025,1,0.337959410876593
0.15,1,6025,1,0.141155737876167
0.45,1,6025,1,0.23073534075912
0.05,1,6025,1,0.0352889344690418
0.05,1,6025,1,0.142513004586515
0.05,1,6025,1,0.0108581336827821
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0190017339448687
0.05,1,6025,1,0.0312171343379985
0.1,1,6025,1,0.135726671034776
0.05,1,6025,1,0.057005201834606
0.15,1,6025,1,0.251094341414336
0.15,1,6025,1,0.0909368695933001
0.35,1,6025,1,0.0936514030139956
0.25,1,6025,1,0.146584804717558
0.1,1,6025,1,0.165586538662427
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.023073534075912
0,1,6025,1,0.0461470681518239
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.00542906684139105
0.05,1,6025,1,0.0176444672345209
0.05,1,6025,1,0.00814360026208657
0.05,1,6025,1,0.0352889344690418
0.15,1,6025,1,0.0502188682828672
0.05,1,6025,1,0.0366462011793896
0,1,6025,1,0.00814360026208657
0.05,1,6025,1,0.0162872005241731
0,1,6025,1,0.0176444672345209
0.15,1,6025,1,0.0461470681518239
0,1,6025,1,0.142513004586515
0.05,1,6025,1,0.00542906684139105
0,1,6025,1,0.0352889344690418
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.0407180013104329
0,1,6025,1,0.0298598676276508
0.1,1,6025,1,0.0271453342069552
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.00135726671034776
0.05,1,6025,1,0.0149299338138254
0,1,6025,1,0.0135726671034776
0.05,1,6025,1,0.0162872005241731
0,1,6025,1,0.0637915353863448
0,1,6025,1,0.0461470681518239
0,1,6025,1,0.00814360026208657
0.05,1,6025,1,0.0407180013104329
0,1,6025,1,0.0257880674966075
0.15,1,6025,1,0.0475043348621717
0.1,1,6025,1,0.00678633355173881
0.05,1,6025,1,0.0135726671034776
0.05,1,6025,1,0.0407180013104329
0,1,6025,1,0.00271453342069552
0.2,1,6025,1,0.0339316677586941
0,1,6025,1,0.0447898014414762
0.05,1,6025,1,0.0556479351242583
0,1,6025,1,0.00678633355173881
0.05,1,6025,1,0.0162872005241731
0.1,1,6025,1,0.0475043348621717
0,1,6025,1,0.0135726671034776
0.1,1,6025,1,0.028502600917303
0.15,1,6025,1,0.0352889344690418
0,1,6025,1,0.0257880674966075
0.05,1,6025,1,0.0244308007862597
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.00542906684139105
0.2,1,6025,1,0.0420752680207806
0,1,6025,1,0.028502600917303
0.05,1,6025,1,0.0339316677586941
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00407180013104329
0.05,1,6025,1,0.0380034678897373
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.0176444672345209
0.05,1,6025,1,0.0678633355173881
0,1,6025,1,0.0190017339448687
0.05,1,6025,1,0.0108581336827821
0,1,6025,1,0.0610770019656493
0.05,1,6025,1,0.0502188682828672
0.15,1,6025,1,0.109938603538169
0.15,1,6025,1,0.0407180013104329
0.05,1,6025,1,0.0366462011793896
0,1,6025,1,0.0420752680207806
0.05,1,6025,1,0.0502188682828672
0.1,1,6025,1,0.0190017339448687
0.05,1,6025,1,0.0434325347311284
0.05,1,6025,1,0.0257880674966075
0,1,6025,1,0.0217162673655642
0,1,6025,1,0.0461470681518239
0.05,1,6025,1,0.0705778689380836
0.15,1,6025,1,0.0203590006552164
0.05,1,6025,1,0.0298598676276508
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00135726671034776
0.1,1,6025,1,0.0597197352553015
0.05,1,6025,1,0.0176444672345209
0,1,6025,1,0.0366462011793896
0,1,6025,1,0.00950086697243434
0.2,1,6025,1,0.057005201834606
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.0271453342069552
0,1,6025,1,0.0122154003931299
0.15,1,6025,1,0.0420752680207806
0,1,6025,1,0.00678633355173881
0.1,1,6025,1,0.0583624685449538
0,1,6025,1,0.0176444672345209
0.15,1,6025,1,0.10315226998643
0.05,1,6025,1,0.00407180013104329
0,1,6025,1,0.0651488020966926
0.05,1,6025,1,0.0882223361726045
0.1,1,6025,1,0.0257880674966075
0.1,1,6025,1,0.0325744010483463
0,1,6025,1,0.0244308007862597
0,1,6025,1,0.0176444672345209
0.1,1,6025,1,0.0312171343379985
0.05,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0135726671034776
0.05,1,6025,1,0.00814360026208657
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0257880674966075
0,1,6025,1,0.00678633355173881
0,1,6025,1,0.0407180013104329
0.1,1,6025,1,0.0665060688070404
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0149299338138254
0.05,1,6025,1,0.0244308007862597
0,1,6025,1,0.0203590006552164
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.00135726671034776
0.1,1,6025,1,0.0475043348621717
0.2,1,6025,1,0.133012137614081
0,1,6025,1,0.00135726671034776
0.05,1,6025,1,0.0203590006552164
0.1,1,6025,1,0.0977232031450389
0,1,6025,1,0.0380034678897373
0.05,1,6025,1,0.00542906684139105
0.2,1,6025,1,0.138441204455472
0.1,1,6025,1,0.0176444672345209
0,1,6025,1,0.00135726671034776
0.05,1,6025,1,0.0407180013104329
0.15,1,6025,1,0.0420752680207806
0.15,1,6025,1,0.0257880674966075
0,1,6025,1,0.0244308007862597
0.05,1,6025,1,0.0529334017035627
0.05,1,6025,1,0.166943805372775
0,1,6025,1,0.00678633355173881
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.0190017339448687
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.0271453342069552
0.05,1,6025,1,0.0135726671034776
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0190017339448687
0,1,6025,1,0.0312171343379985
0.2,1,6025,1,0.0665060688070404
0,1,6025,1,0.00678633355173881
0.05,1,6025,1,0.00135726671034776
0,1,6025,1,0.0203590006552164
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.0447898014414762
0,1,6025,1,0.0475043348621717
0.1,1,6025,1,0.0529334017035627
0.15,1,6025,1,0.133012137614081
0.05,1,6025,1,0.00407180013104329
0.15,1,6025,1,0.109938603538169
0,1,6025,1,0.0271453342069552
0,1,6025,1,0.0108581336827821
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0176444672345209
0,1,6025,1,0.00135726671034776
0.05,1,6025,1,0.0135726671034776
0.05,1,6025,1,0.0108581336827821
0,1,6025,1,0.0176444672345209
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.00678633355173881
0,1,6025,1,0.0529334017035627
0.1,1,6025,1,0.0488616015725194
0.05,1,6025,1,0.0271453342069552
0,1,6025,1,0.00950086697243434
0.1,1,6025,1,0.124868537351994
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0176444672345209
0.1,1,6025,1,0.00542906684139105
0,1,6025,1,0.0190017339448687
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.0108581336827821
0.1,1,6025,1,0.0990804698553866
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.0407180013104329
0,1,6025,1,0.00271453342069552
0.15,1,6025,1,0.146584804717558
0.05,1,6025,1,0.0529334017035627
0.1,1,6025,1,0.057005201834606
0.05,1,6025,1,0.0529334017035627
0,1,6025,1,0.0475043348621717
0.05,1,6025,1,0.0257880674966075
0.15,1,6025,1,0.0990804698553866
0,1,6025,1,0.0176444672345209
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0203590006552164
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0135726671034776
0,1,6025,1,0.00542906684139105
0.15,1,6025,1,0.112653136958864
0.1,1,6025,1,0.080078735910518
0.1,1,6025,1,0.0325744010483463
0.1,1,6025,1,0.0624342686759971
0.15,1,6025,1,0.0841505360415613
0.1,1,6025,1,0.0488616015725194
0.15,1,6025,1,0.0475043348621717
0.2,1,6025,1,0.0339316677586941
0.2,1,6025,1,0.12758307077269
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.0312171343379985
0.05,1,6025,1,0.0434325347311284
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.00678633355173881
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0190017339448687
0.05,1,6025,1,0.00814360026208657
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.0488616015725194
0.3,1,6025,1,0.0719351356484314
0,1,6025,1,0.0841505360415613
0,1,6025,1,0.0542906684139105
0.1,1,6025,1,0.0936514030139956
0.15,1,6025,1,0.0692206022277359
0.1,1,6025,1,0.0393607346000851
0.15,1,6025,1,0.183231005896948
0,1,6025,1,0.0380034678897373
0,1,6025,1,0.0149299338138254
0.1,1,6025,1,0.0312171343379985
0,1,6025,1,0.0217162673655642
0.1,1,6025,1,0.0217162673655642
0,1,6025,1,0.0149299338138254
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.00814360026208657
0,1,6025,1,0.0149299338138254
0,1,6025,1,0.0135726671034776
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0149299338138254
0,1,6025,1,0.00814360026208657
0.05,1,6025,1,0.0122154003931299
0.1,1,6025,1,0.0352889344690418
0.1,1,6025,1,0.00407180013104329
0,1,6025,1,0.0149299338138254
0.1,1,6025,1,0.00814360026208657
0.1,1,6025,1,0.028502600917303
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.0407180013104329
0,1,6025,1,0.0325744010483463
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.0475043348621717
0.1,1,6025,1,0.13979847116582
0,1,6025,1,0.0312171343379985
0.05,1,6025,1,0.0149299338138254
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.00678633355173881
0.2,1,6025,1,0.0257880674966075
0.05,1,6025,1,0.00135726671034776
0,1,6025,1,0.0176444672345209
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0502188682828672
0,1,6025,1,0.0407180013104329
0,1,6025,1,0.0135726671034776
0.15,1,6025,1,0.0380034678897373
0,1,6025,1,0.00814360026208657
0,1,6025,1,0.00678633355173881
0,1,6025,1,0.0190017339448687
0,1,6025,1,0.00407180013104329
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.00271453342069552
0.15,1,6025,1,0.164229271952079
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0298598676276508
0.05,1,6025,1,0.0176444672345209
0.05,1,6025,1,0.0868650694622568
0.1,1,6025,1,0.0746496690691269
0.25,1,6025,1,0.0217162673655642
0.05,1,6025,1,0.0108581336827821
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.00271453342069552
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0162872005241731
0.05,1,6025,1,0.0135726671034776
0.15,1,6025,1,0.0190017339448687
0,1,6025,1,0.00135726671034776
0.1,1,6025,1,0.00814360026208657
0.15,1,6025,1,0.0217162673655642
0.1,1,6025,1,0.0298598676276508
0,1,6025,1,0.0271453342069552
0.05,1,6025,1,0.00678633355173881
0.15,1,6025,1,0.0203590006552164
0.05,1,6025,1,0.0542906684139105
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.0162872005241731
0.2,1,6025,1,0.0488616015725194
0,1,6025,1,0.0339316677586941
0.1,1,6025,1,0.0366462011793896
0,1,6025,1,0.023073534075912
0,1,6025,1,0.00950086697243434
0.15,1,6025,1,0.0135726671034776
0.05,1,6025,1,0.0217162673655642
0.15,1,6025,1,0.0461470681518239
0,1,6025,1,0.0366462011793896
0.05,1,6025,1,0.0135726671034776
0.1,1,6025,1,0.0407180013104329
0,1,6025,1,0.0556479351242583
0,1,6025,1,0.0108581336827821
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.0352889344690418
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.0339316677586941
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.0529334017035627
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.00678633355173881
0.25,1,6025,1,0.0434325347311284
0,1,6025,1,0.00135726671034776
0.05,1,6025,1,0.0257880674966075
0.05,1,6025,1,0.0420752680207806
0,1,6025,1,0.0162872005241731
0.05,1,6025,1,0.00542906684139105
0.05,1,6025,1,0.00678633355173881
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.00271453342069552
0.05,1,6025,1,0.0108581336827821
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0475043348621717
0,1,6025,1,0.0176444672345209
0.15,1,6025,1,0.0380034678897373
0.05,1,6025,1,0.0909368695933001
0.1,1,6025,1,0.0108581336827821
0,1,6025,1,0.00271453342069552
0.1,1,6025,1,0.0352889344690418
0,1,6025,1,0.00542906684139105
0,1,6025,1,0.0162872005241731
0.1,1,6025,1,0.0352889344690418
0,1,6025,1,0.0325744010483463
0.05,1,6025,1,0.0298598676276508
0.25,1,6025,1,0.0475043348621717
0,1,6025,1,0.023073534075912
0.1,1,6025,1,0.0298598676276508
0,1,6025,1,0.0162872005241731
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.0339316677586941
0,1,6025,1,0.0122154003931299
0.05,1,6025,1,0.0217162673655642
0,1,6025,1,0.0271453342069552
0.1,1,6025,1,0.0475043348621717
0.05,1,6025,1,0.0176444672345209
0.05,1,6025,1,0.00678633355173881
0.25,1,6025,1,0.0271453342069552
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00407180013104329
0,1,6025,1,0.0257880674966075
0.05,1,6025,1,0.0257880674966075
0.05,1,6025,1,0.0135726671034776
0,1,6025,1,0.00950086697243434
0.05,1,6025,1,0.0502188682828672
0.05,1,6025,1,0.0488616015725194
0,1,6025,1,0.0352889344690418
0,1,6025,1,0.00542906684139105
0.05,1,6025,1,0.0352889344690418
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.0108581336827821
0,1,6025,1,0.00542906684139105
0.15,1,6025,1,0.0488616015725194
0.1,1,6025,1,0.0407180013104329
0,1,6025,1,0.0122154003931299
0,1,6025,1,0.0190017339448687
0,1,6025,1,0.00814360026208657
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00950086697243434
0,1,6025,1,0.00135726671034776
0,1,6025,1,0.00407180013104329
0.03125,1,6026,1,0.00445583530220357
0.09375,1,6026,1,0.0341614039835607
0,1,6026,1,0.00148527843406786
0.0625,1,6026,1,0.0252497333791536
0.09375,1,6026,1,0.0698080864011893
0.03125,1,6026,1,0.00297055686813571
0,1,6026,1,0.0386172392857643
0,1,6026,1,0.00445583530220357
0.03125,1,6026,1,0.00891167060440715
0.03125,1,6026,1,0.0995136550825464
0.25,1,6026,1,0.246556220055264
0.125,1,6026,1,0.2079389807695
0.1875,1,6026,1,0.230218157280518
0.125,1,6026,1,0.133675059066107
0,1,6026,1,0.0252497333791536
0.03125,1,6026,1,0.0237644549450857
0.15625,1,6026,1,0.1247633884617
0.0625,1,6026,1,0.0816903138737322
0.1875,1,6026,1,0.184174525824414
0.1875,1,6026,1,0.218335929807975
0.15625,1,6026,1,0.147042564972718
0.125,1,6026,1,0.0712933648352572
0,1,6026,1,0.0118822274725429
0,1,6026,1,0.072778643269325
0.40625,1,6026,1,0.0816903138737322
0.15625,1,6026,1,0.0757492001374607
0.03125,1,6026,1,0.0638669726649179
0.03125,1,6026,1,0.0445583530220357
0.0625,1,6026,1,0.0178233412088143
0.03125,1,6026,1,0.0460436314561036
0.15625,1,6026,1,0.0698080864011893
0.0625,1,6026,1,0.0460436314561036
0.125,1,6026,1,0.0430730745879679
0,1,6026,1,0.00148527843406786
0,1,6026,1,0.0118822274725429
0,1,6026,1,0.00742639217033929
0,1,6026,1,0.0356466824176286
0.0625,1,6026,1,0.0326761255494929
0,1,6026,1,0.00148527843406786
0.0208333333333333,1,6027,1,0.0103241680968602
0.0208333333333333,1,6027,1,0.0265478608204975
0.0208333333333333,1,6027,1,0.00884928694016585
0,1,6027,1,0.00884928694016585
0.0208333333333333,1,6027,1,0.0132739304102488
0,1,6027,1,0.00737440578347154
0,1,6027,1,0.0103241680968602
0.0208333333333333,1,6027,1,0.0250729796638032
0,1,6027,1,0.00442464347008292
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00442464347008292
0,1,6027,1,0.0412966723874406
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.0162236927236374
0.0208333333333333,1,6027,1,0.0132739304102488
0,1,6027,1,0.00442464347008292
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.0280227419771918
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00884928694016585
0.0416666666666667,1,6027,1,0.0103241680968602
0.0416666666666667,1,6027,1,0.0398217912307463
0.0416666666666667,1,6027,1,0.0250729796638032
0.0208333333333333,1,6027,1,0.00884928694016585
0.0208333333333333,1,6027,1,0.0486710781709122
0,1,6027,1,0.0147488115669431
0.208333333333333,1,6027,1,0.0486710781709122
0.0416666666666667,1,6027,1,0.0309725042905805
0.0625,1,6027,1,0.0294976231338862
0.0416666666666667,1,6027,1,0.0147488115669431
0.0833333333333333,1,6027,1,0.0339222666039691
0,1,6027,1,0.00589952462677723
0,1,6027,1,0.00589952462677723
0,1,6027,1,0.0235980985071089
0.0416666666666667,1,6027,1,0.0132739304102488
0,1,6027,1,0.00147488115669431
0.0416666666666667,1,6027,1,0.0147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00589952462677723
0,1,6027,1,0.00589952462677723
0,1,6027,1,0.00147488115669431
0.0625,1,6027,1,0.0825933447748812
0,1,6027,1,0.00294976231338862
0.0625,1,6027,1,0.0398217912307463
0.0208333333333333,1,6027,1,0.0103241680968602
0,1,6027,1,0.00147488115669431
0.0208333333333333,1,6027,1,0.00884928694016585
0,1,6027,1,0.00294976231338862
0.125,1,6027,1,0.109141205595379
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00147488115669431
0.0208333333333333,1,6027,1,0.00589952462677723
0,1,6027,1,0.00589952462677723
0,1,6027,1,0.0235980985071089
0,1,6027,1,0.0176985738803317
0,1,6027,1,0.0235980985071089
0,1,6027,1,0.019173455037026
0.0208333333333333,1,6027,1,0.0560454839543837
0.0208333333333333,1,6027,1,0.0486710781709122
0,1,6027,1,0.00147488115669431
0.0625,1,6027,1,0.0176985738803317
0.0416666666666667,1,6027,1,0.0162236927236374
0.0208333333333333,1,6027,1,0.0280227419771918
0.0208333333333333,1,6027,1,0.0206483361937203
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00442464347008292
0.0208333333333333,1,6027,1,0.00589952462677723
0.0208333333333333,1,6027,1,0.00442464347008292
0.0208333333333333,1,6027,1,0.00147488115669431
0,1,6027,1,0.00737440578347154
0.0625,1,6027,1,0.0280227419771918
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.0339222666039691
0,1,6027,1,0.00442464347008292
0,1,6027,1,0.00147488115669431
0.0208333333333333,1,6027,1,0.0206483361937203
0,1,6027,1,0.00884928694016585
0.229166666666667,1,6027,1,0.0560454839543837
0.0416666666666667,1,6027,1,0.0280227419771918
0.0208333333333333,1,6027,1,0.0103241680968602
0.125,1,6027,1,0.0516208404843008
0,1,6027,1,0.0265478608204975
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00884928694016585
0.0208333333333333,1,6027,1,0.00442464347008292
0.0208333333333333,1,6027,1,0.00442464347008292
0,1,6027,1,0.00737440578347154
0,1,6027,1,0.00737440578347154
0.0208333333333333,1,6027,1,0.0162236927236374
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.0147488115669431
0,1,6027,1,0.00294976231338862
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00147488115669431
0,1,6027,1,0.00737440578347154
0.0208333333333333,1,6027,1,0.0103241680968602
0.0208333333333333,1,6027,1,0.0398217912307463
0,1,6027,1,0.00147488115669431
0.0208333333333333,1,6027,1,0.0545706027976894
0.0625,1,6027,1,0.0176985738803317
0,1,6027,1,0.00884928694016585
0.0208333333333333,1,6027,1,0.0619450085811609
0,1,6027,1,0.0221232173504146
0,1,6027,1,0.00294976231338862
